Testing download, to see how recv_wnd is affected.

[10511.355990] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.356822] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.357534] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.358575] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.358616] TCPLog: in_ack_event - cwnd=10, recv_wnd=1389, snd_wnd=45
[10511.358630] TCPLog: in_ack_event - cwnd=10, recv_wnd=1386, snd_wnd=45
[10511.359444] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.360328] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.360358] TCPLog: in_ack_event - cwnd=10, recv_wnd=1391, snd_wnd=45
[10511.360935] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.361910] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.361955] TCPLog: in_ack_event - cwnd=10, recv_wnd=1391, snd_wnd=45
[10511.361969] TCPLog: in_ack_event - cwnd=10, recv_wnd=1390, snd_wnd=45
[10511.362099] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.363086] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.363120] TCPLog: in_ack_event - cwnd=10, recv_wnd=1389, snd_wnd=45
[10511.363145] TCPLog: in_ack_event - cwnd=10, recv_wnd=1391, snd_wnd=45
[10511.363491] TCPLog: in_ack_event - cwnd=10, recv_wnd=1390, snd_wnd=45
[10511.364074] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.364110] TCPLog: in_ack_event - cwnd=10, recv_wnd=1390, snd_wnd=45
[10511.365048] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.366097] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.366150] TCPLog: in_ack_event - cwnd=10, recv_wnd=1390, snd_wnd=45
[10511.366164] TCPLog: in_ack_event - cwnd=10, recv_wnd=1386, snd_wnd=45
[10511.367337] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.367373] TCPLog: in_ack_event - cwnd=10, recv_wnd=1389, snd_wnd=45
[10511.367670] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.368423] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.369690] TCPLog: in_ack_event - cwnd=10, recv_wnd=1391, snd_wnd=45
[10511.369722] TCPLog: in_ack_event - cwnd=10, recv_wnd=1387, snd_wnd=45
[10511.370495] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.370954] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.370985] TCPLog: in_ack_event - cwnd=10, recv_wnd=1391, snd_wnd=45
[10511.373883] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.373915] TCPLog: in_ack_event - cwnd=10, recv_wnd=1389, snd_wnd=45
[10511.373939] TCPLog: in_ack_event - cwnd=10, recv_wnd=1384, snd_wnd=45
[10511.375171] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.375203] TCPLog: in_ack_event - cwnd=10, recv_wnd=1388, snd_wnd=45
[10511.375444] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.377665] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.377704] TCPLog: in_ack_event - cwnd=10, recv_wnd=1391, snd_wnd=45
[10511.377721] TCPLog: in_ack_event - cwnd=10, recv_wnd=1386, snd_wnd=45
[10511.378721] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.378847] TCPLog: in_ack_event - cwnd=10, recv_wnd=1390, snd_wnd=45
[10511.379871] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.379882] TCPLog: in_ack_event - cwnd=10, recv_wnd=1389, snd_wnd=45
[10511.380398] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.383028] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.383060] TCPLog: in_ack_event - cwnd=10, recv_wnd=1391, snd_wnd=45
[10511.383073] TCPLog: in_ack_event - cwnd=10, recv_wnd=1386, snd_wnd=45
[10511.383820] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.383851] TCPLog: in_ack_event - cwnd=10, recv_wnd=1388, snd_wnd=45
[10511.384072] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.384801] TCPLog: in_ack_event - cwnd=10, recv_wnd=1391, snd_wnd=45
[10511.385293] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.386231] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.386891] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
